Cardio,Legs,Shoulders,Abs,Chest,Back
Swimming,Barbell Back Squats,Standing Shoulder Press,Planks,Dumbbell bench press,Pullups
Jogging,Leg press,Dumbbell upright row,Decline Crunches,Barbell,Lat pulldowns
Running,Dumbbell Lunge,Seated Dumbbell Shoulder Press,Crunches with legs elevated,Dumbbell fly,Machine
Cycling,Dumbbell Squats,Lateral Raises,Leg raises,Pushup,Dumbbell Chest fly
