Cardio,Core,Legs,Arms,Stretching
Walking,Leg raise,Squat,Lateral Raise,Side Lunge Stretch
Jogging,Side Bend,Lunge,Kickback,Calf Stretch
Jumping Rope,Jackknife,Bridge,Overhead Extension,Cobra
Swimming,Dead Bug,Deadlift,Kettlebell Swing,Butterfly Stretch
